
#ScanTableParameter1
&kV=40	&mA=40
&ScanAxis=M	&ScanMode=Stepscan	
&Start=10.000	&End=120.000	&Step=0.01000	&Time=4.0	&Counts=0
&Speed=0.1	&Area=0.0	&Accu=1
&NoAxis=5
&Axis=O	&Task=GetPosition	&Pos=20.66900	&Ampl=0.000	&Speed=0.0
&Axis=T	&Task=GetPosition	&Pos=21.00600	&Ampl=0.000	&Speed=0.0
&Axis=C	&Task=GetPosition	&Pos=-9.00000	&Ampl=0.000	&Speed=0.0
&Axis=P	&Task=GetPosition	&Pos=0.00000	&Ampl=0.000	&Speed=0.0
&Axis=AC	&Task=GetPosition	&Pos=1.00000	&Ampl=0.000	&Speed=0.0

#Values1
&NoValues=11001
  12.36000	    37.750	
  12.37000	    34.750	
  12.38000	    41.500	
  12.39000	    37.750	
  12.40000	    37.000	
  12.41000	    38.000	
  12.42000	    38.750	
  12.43000	    37.750	
  12.44000	    41.500	
  12.45000	    41.250	
  12.46000	    43.000	
  12.47000	    40.000	
  12.48000	    39.750	
  12.49000	    41.500	
  12.50000	    37.000	
  12.51000	    35.000	
  12.52000	    39.500	
  12.53000	    36.000	
  12.54000	    35.250	
  12.55000	    46.500	
  12.56000	    37.500	
  12.57000	    41.000	
  12.58000	    40.750	
  12.59000	    43.750	
  12.60000	    40.750	
  12.61000	    37.750	
  12.62000	    37.000	
  12.63000	    34.750	
  12.64000	    39.750	
  12.65000	    46.000	
  12.66000	    36.250	
  12.67000	    38.250	
  12.68000	    38.250	
  12.69000	    36.250	
  12.70000	    41.250	
  12.71000	    45.750	
  12.72000	    39.000	
  12.73000	    46.250	
  12.74000	    41.500	
  12.75000	    34.500	
  12.76000	    35.250	
  12.77000	    36.000	
  12.78000	    35.000	
  12.79000	    43.250	
  12.80000	    36.750	
  12.81000	    35.500	
  12.82000	    40.500	
  12.83000	    35.750	
  12.84000	    38.250	
  12.85000	    37.000	
  12.86000	    31.250	
  12.87000	    36.750	
  12.88000	    36.500	
  12.89000	    39.000	
  12.90000	    34.500	
  12.91000	    38.250	
  12.92000	    39.250	
  12.93000	    39.750	
  12.94000	    41.500	
  12.95000	    37.000	
  12.96000	    36.500	
  12.97000	    39.250	
  12.98000	    35.750	
  12.99000	    34.250	
  13.00000	    39.500	
  13.01000	    44.000	
  13.02000	    38.750	
  13.03000	    37.500	
  13.04000	    37.000	
  13.05000	    34.000	
  13.06000	    36.750	
  13.07000	    33.750	
  13.08000	    33.250	
  13.09000	    38.750	
  13.10000	    38.000	
  13.11000	    36.500	
  13.12000	    35.000	
  13.13000	    33.000	
  13.14000	    33.500	
  13.15000	    31.250	
  13.16000	    32.250	
  13.17000	    34.250	
  13.18000	    35.000	
  13.19000	    38.000	
  13.20000	    38.000	
  13.21000	    36.250	
  13.22000	    37.500	
  13.23000	    37.750	
  13.24000	    32.250	
  13.25000	    33.000	
  13.26000	    33.750	
  13.27000	    38.000	
  13.28000	    36.500	
  13.29000	    37.000	
  13.30000	    37.250	
  13.31000	    37.500	
  13.32000	    34.250	
  13.33000	    37.500	
  13.34000	    37.750	
  13.35000	    34.500	
  13.36000	    36.000	
  13.37000	    35.250	
  13.38000	    38.000	
  13.39000	    33.750	
  13.40000	    34.500	
  13.41000	    36.750	
  13.42000	    37.750	
  13.43000	    37.250	
  13.44000	    34.750	
  13.45000	    34.000	
  13.46000	    34.500	
  13.47000	    32.500	
  13.48000	    37.000	
  13.49000	    41.000	
  13.50000	    34.750	
  13.51000	    32.500	
  13.52000	    33.250	
  13.53000	    32.000	
  13.54000	    32.500	
  13.55000	    31.750	
  13.56000	    32.750	
  13.57000	    37.750	
  13.58000	    35.000	
  13.59000	    36.000	
  13.60000	    27.750	
  13.61000	    37.250	
  13.62000	    36.000	
  13.63000	    39.750	
  13.64000	    37.250	
  13.65000	    37.750	
  13.66000	    35.750	
  13.67000	    33.500	
  13.68000	    30.750	
  13.69000	    36.750	
  13.70000	    34.500	
  13.71000	    37.500	
  13.72000	    38.250	
  13.73000	    34.250	
  13.74000	    31.750	
  13.75000	    37.250	
  13.76000	    28.750	
  13.77000	    34.750	
  13.78000	    38.000	
  13.79000	    33.000	
  13.80000	    37.250	
  13.81000	    32.250	
  13.82000	    36.750	
  13.83000	    33.500	
  13.84000	    36.750	
  13.85000	    34.750	
  13.86000	    34.500	
  13.87000	    39.000	
  13.88000	    27.750	
  13.89000	    34.750	
  13.90000	    38.500	
  13.91000	    34.250	
  13.92000	    39.500	
  13.93000	    33.500	
  13.94000	    36.000	
  13.95000	    37.750	
  13.96000	    35.500	
  13.97000	    32.750	
  13.98000	    35.500	
  13.99000	    33.750	
  14.00000	    32.500	
  14.01000	    33.000	
  14.02000	    40.750	
  14.03000	    34.500	
  14.04000	    33.250	
  14.05000	    36.000	
  14.06000	    30.250	
  14.07000	    31.750	
  14.08000	    36.750	
  14.09000	    31.500	
  14.10000	    35.750	
  14.11000	    35.000	
  14.12000	    38.000	
  14.13000	    30.000	
  14.14000	    31.250	
  14.15000	    36.250	
  14.16000	    35.000	
  14.17000	    32.250	
  14.18000	    33.500	
  14.19000	    39.500	
  14.20000	    33.000	
  14.21000	    38.250	
  14.22000	    36.500	
  14.23000	    38.250	
  14.24000	    33.750	
  14.25000	    29.500	
  14.26000	    38.250	
  14.27000	    35.500	
  14.28000	    34.250	
  14.29000	    34.250	
  14.30000	    28.750	
  14.31000	    34.000	
  14.32000	    29.750	
  14.33000	    34.250	
  14.34000	    34.750	
  14.35000	    33.000	
  14.36000	    35.000	
  14.37000	    30.500	
  14.38000	    29.500	
  14.39000	    39.500	
  14.40000	    38.250	
  14.41000	    35.750	
  14.42000	    36.500	
  14.43000	    37.500	
  14.44000	    33.500	
  14.45000	    29.500	
  14.46000	    33.750	
  14.47000	    35.000	
  14.48000	    35.250	
  14.49000	    28.250	
